City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hithadhoo,-0.6,73.0833,82.56,75,74,6.31,MV,1680117044
84,thompson,55.7435,-97.8558,22.21,86,100,8.68,CA,1680117006
85,touros,-5.1989,-35.4608,83.19,67,5,10.0,BR,1680117044
86,faranah,10.0404,-10.7434,83.19,56,84,9.53,GN,1680117044
87,khatanga,71.9667,102.5,-24.68,100,98,2.06,RU,1680117044
88,kungurtug,50.5994,97.5228,22.44,81,2,2.86,RU,1680117045
89,luanda,-8.8368,13.2343,80.8,79,16,10.96,AO,1680117045
90,berlevag,70.8578,29.0864,30.2,93,75,23.02,NO,1680117045
91,kavieng,-2.5744,150.7967,81.18,76,96,4.76,PG,1680117045
92,raga,8.4596,25.678,82.72,20,100,2.73,SS,1680117046
93,soc trang,9.6033,105.98,77.94,81,100,4.32,VN,1680117046
94,okha,53.5739,142.9478,24.28,90,98,8.12,RU,1680117046
95,bluff,-46.6,168.3333,41.81,74,13,14.65,NZ,1680117046
96,hays,30.0502,-98.0336,69.64,57,100,1.99,US,1680117046
97,bengkulu,-3.8004,102.2655,76.05,88,95,4.76,ID,1680117046
98,mount gambier,-37.8333,140.7667,51.1,92,34,4.27,AU,1680117046
99,serebryanyy bor,56.8,124.8,-6.25,100,46,2.39,RU,1680117047
100,krasnoselkup,65.7,82.4667,-4.58,99,95,8.75,RU,1680117047
101,timoteo,-19.5825,-42.6444,82.94,62,99,4.32,BR,1680117047
102,krasnovishersk,60.4078,57.082,19.36,90,93,3.29,RU,1680117048
103,bethel,41.3712,-73.414,56.59,33,0,6.91,US,1680116912
104,surgut,61.25,73.4167,19.58,85,75,15.99,RU,1680117048
105,waipawa,-41.4122,175.5153,48.67,88,100,25.99,NZ,1680117048
106,norman wells,65.282,-126.8329,14.38,80,59,4.63,CA,1680117049
107,new norfolk,-42.7826,147.0587,54.91,77,100,3.0,AU,1680117049
108,lompoc,34.6391,-120.4579,57.85,67,45,13.0,US,1680117049
109,nikolskoye,59.7035,30.7861,28.29,92,100,8.1,RU,1680117050
110,tiruchchendur,8.4833,78.1167,82.13,77,100,6.78,IN,1680117050
111,hermanus,-34.4187,19.2345,55.8,75,42,1.68,ZA,1680117050
112,katangli,51.7102,143.2326,23.85,86,100,4.79,RU,1680117050
113,muzaffarpur,26.1167,85.4,77.04,22,97,5.77,IN,1680117050
114,martaban,16.5314,97.6111,79.32,65,22,4.09,MM,1680116884
115,vao,-22.6667,167.4833,76.26,76,58,8.28,NC,1680117050
116,avarua,-21.2078,-159.775,78.85,83,100,3.44,CK,1680117051
117,ternate,0.8,127.4,79.77,80,98,8.3,ID,1680117051
118,katherine,-14.4667,132.2667,73.72,83,59,4.61,AU,1680117051
119,merauke,-8.4667,140.3333,77.77,87,99,3.49,ID,1680117051
120,thaba nchu,-29.2093,26.839,59.02,30,69,6.82,ZA,1680117051
121,fiche,9.8,38.7333,54.5,71,73,4.21,ET,1680117051
122,jijiga,9.35,42.8,66.18,77,18,1.97,ET,1680117051
123,daru,-9.0763,143.2092,78.17,88,100,6.71,PG,1680117052
124,pitea,65.3172,21.4794,14.09,92,22,6.49,SE,1680117052
125,sitka,57.0531,-135.33,40.89,65,0,16.11,US,1680117052
126,butaritari,3.0707,172.7902,80.89,81,99,15.03,KI,1680117052
127,abu samrah,35.3029,37.1841,49.59,59,11,24.67,SY,1680117052
128,algiers,36.7525,3.042,61.03,64,6,6.46,DZ,1680116978
129,chokurdakh,70.6333,147.9167,-28.17,100,99,6.22,RU,1680117052
130,san jeronimo,-11.9472,-75.2829,59.76,62,100,7.29,PE,1680117053
131,maldonado,-34.6667,-54.9167,81.79,45,8,9.6,UY,1680117053
132,tuatapere,-46.1333,167.6833,34.9,92,49,4.59,NZ,1680117053
133,maloy,61.9353,5.1136,37.13,68,22,5.91,NO,1680117053
134,la ronge,55.1001,-105.2842,30.61,90,100,8.32,CA,1680117054
135,angouleme,45.65,0.15,68.95,45,0,9.22,FR,1680117054
136,golden,39.7555,-105.2211,56.77,35,40,10.36,US,1680117054
137,saskylakh,71.9167,114.0833,-21.26,100,96,3.96,RU,1680117054
138,georgetown,5.4112,100.3354,78.73,89,20,2.3,MY,1680117055
139,along,28.1667,94.7667,57.9,85,91,2.42,IN,1680116828
140,saint anthony,45.0205,-93.218,27.66,39,0,8.05,US,1680117055
